what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390840947501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1390840947526
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1390840947526
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1390840955963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1390840955969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390840962304
started,bundle,com.google.gdt.eclipse.maven,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.maven",1390840979371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390840979752
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390840980606
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1390840984132
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1390840984135
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1390840984147
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1390840984147
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1390840984367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390840992446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390840997016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390841005200
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390841009368
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390841009402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390841009489
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390841010492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390841016628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390842767635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390842793551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390843729688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390843730336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390843753778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390843754885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390845955348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390845956033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390846134251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390846135099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390846141825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390848913248
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390848915706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390848918685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390848923607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390848924584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390848927429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856741940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856743509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856745179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856745635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856781264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856782222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856783251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390856784034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390858943114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390858949079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390887522026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390887523829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390888590146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390888590334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390888591504
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390888591940
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1390888594124
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1390888594124
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1390888594124
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1390888594124
